name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sceaux,2009-08-01,26.7,16.6,21.5,26.6,16.6,21.5,10.9,52.4,0,0,0,,0,0,37.3,16.5,188.5,1011.8,56,20.7,,,,,2009-08-01T06:24:23,2009-08-01T21:29:03,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-02,20.7,15,17.9,20.7,15,17.9,13.1,75.1,4.669,100,37.5,rain,0,0,42.2,21.5,283.5,1012.9,78.9,13.9,,,,,2009-08-02T06:25:43,2009-08-02T21:27:34,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-03,24,15,18.8,24,15,18.8,9,54.1,0,0,0,,0,0,21.4,10.8,46.2,1016.7,49.3,16.3,,,,,2009-08-03T06:27:04,2009-08-03T21:26:03,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-04,27.3,11.8,20.4,27,11.8,20.3,11.5,60.6,0,0,0,,0,0,29,12.2,155.9,1019.1,7.2,21.2,,,,,2009-08-04T06:28:25,2009-08-04T21:24:31,0.45,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07146099999,07156099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-05,29.7,17.1,23.6,28.5,17.1,23.3,11.5,48.6,0,0,0,,0,0,27.9,11.4,110.9,1018.3,38.9,19.8,,,,,2009-08-05T06:29:46,2009-08-05T21:22:57,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-06,31.7,17.1,25,30.5,17.1,24.7,12.9,49.3,0,0,0,,0,0,42.4,22.5,41.2,1016.6,21.6,20.4,,,,,2009-08-06T06:31:08,2009-08-06T21:21:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-07,22.8,18.5,20.2,22.8,18.5,20.2,15.8,76.2,0.121,100,8.33,rain,0,0,39.3,18,324.3,1018.8,73.6,18.8,,,,,2009-08-07T06:32:30,2009-08-07T21:19:44,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-08,23.2,16.7,19.9,23.2,16.7,19.9,14.8,73,0.146,100,12.5,rain,0,0,34.8,14.7,344.6,1019.9,75.7,15.9,,,,,2009-08-08T06:33:53,2009-08-08T21:18:06,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-09,26.4,17.8,22.2,26.4,17.8,22.2,13.2,58.4,0,0,0,,0,0,31.6,16,40.7,1017.2,56.5,18.2,,,,,2009-08-09T06:35:16,2009-08-09T21:16:26,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-10,27.7,17.4,22.8,27.3,17.4,22.8,12.9,54.7,0,0,0,,0,0,40.7,18,276.3,1017,49.1,22.4,,,,,2009-08-10T06:36:39,2009-08-10T21:14:45,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-11,23.5,18.6,20.5,23.5,18.6,20.5,15.1,71.6,0.009,100,8.33,rain,0,0,35.9,12.2,282.6,1020.6,76.5,21.2,,,,,2009-08-11T06:38:02,2009-08-11T21:13:02,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-12,29.2,14.2,21.7,28.9,14.2,21.7,14.1,65,0,0,0,,0,0,34.1,16.6,292.6,1021.5,8.3,21.6,,,,,2009-08-12T06:39:26,2009-08-12T21:11:18,0.72,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-13,23.3,18.3,20.2,23.3,18.3,20.2,16,77.4,0,0,0,,0,0,47.5,17.4,306,1018.7,83.6,18.4,,,,,2009-08-13T06:40:50,2009-08-13T21:09:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-14,26.7,16,21.2,26.7,16,21.2,12.4,60.7,0,0,0,,0,0,25,11.1,59.5,1018.4,51.1,19,,,,,2009-08-14T06:42:13,2009-08-14T21:07:46,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-15,32.7,15.3,24.1,31.4,15.3,23.8,12.1,49.6,0,0,0,,0,0,30.5,12.7,186.4,1015.9,3.8,24.1,,,,,2009-08-15T06:43:38,2009-08-15T21:05:59,0.83,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-16,30.4,17.2,23.4,30.2,17.2,23.4,15.9,64.9,0,0,0,,0,0,37.9,13.7,336.9,1016.1,18.5,21.3,,,,,2009-08-16T06:45:02,2009-08-16T21:04:10,0.86,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-17,25.8,15.7,20,25.8,15.7,20,13.8,69.4,0,0,0,,0,0,45.5,18.6,327,1016.6,37.2,17.1,,,,,2009-08-17T06:46:26,2009-08-17T21:02:20,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-18,28.4,13.1,20.8,27.6,13.1,20.7,11.7,59.3,0,0,0,,0,0,19.4,11,78.6,1019.5,39.4,20.9,,,,,2009-08-18T06:47:51,2009-08-18T21:00:29,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-19,35.1,17.5,26.4,35.3,17.5,26.5,14.9,52,0,0,0,,0,0,35.5,14,159.4,1017.3,3.5,20.5,,,,,2009-08-19T06:49:15,2009-08-19T20:58:37,0.97,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-20,30.9,20.3,25.4,31.6,20.3,25.5,16.3,58.1,0,0,0,,0,0,43.4,21.8,239.4,1016.1,60.1,24.2,,,,,2009-08-20T06:50:40,2009-08-20T20:56:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-21,24.2,16.2,20,24.2,16.2,20,8.8,50.4,0,0,0,,0,0,35.9,14.5,287.4,1022.5,58.4,24.9,,,,,2009-08-21T06:52:04,2009-08-21T20:54:50,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-22,25.7,15.3,20.7,25.7,15.3,20.7,8.2,46.3,0,0,0,,0,0,25,13.6,72.6,1023.3,35.5,21.7,,,,,2009-08-22T06:53:29,2009-08-22T20:52:55,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-23,28.3,15.2,22.2,27.2,15.2,21.9,8.5,43.5,0,0,0,,0,0,33.1,14,117.5,1017.8,2.5,20.4,,,,,2009-08-23T06:54:54,2009-08-23T20:50:59,0.1,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-24,27.5,14.6,20.4,27.2,14.6,20.4,12.7,63.5,8.637,100,29.17,rain,0,0,39.7,15.1,174.7,1008.8,48.6,19.2,,,,,2009-08-24T06:56:18,2009-08-24T20:49:02,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-25,23,16.3,19,23,16.3,19,13.2,72.4,0.008,100,4.17,rain,0,0,30.5,13.2,268.2,1011.5,65.9,15.8,,,,,2009-08-25T06:57:43,2009-08-25T20:47:05,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-26,26.2,13,19.7,26.2,13,19.7,10.8,59.2,0,0,0,,0,0,43.4,19.2,202,1014.7,33.6,23.4,,,,,2009-08-26T06:59:08,2009-08-26T20:45:06,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-27,25.3,15.7,20.3,25.3,15.7,20.3,14.4,70.1,0.058,100,4.17,rain,0,0,40.3,19.4,224.5,1015.9,44.8,20.8,,,,,2009-08-27T07:00:32,2009-08-27T20:43:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-28,22.5,15.9,18.8,22.5,15.9,18.8,9.3,56.3,0,0,0,,0,0,53,23.9,267.5,1017,50.9,25,,,,,2009-08-28T07:01:57,2009-08-28T20:41:08,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-29,21.7,11.3,16.6,21.7,11.3,16.6,8.3,60.6,0,0,0,,0,0,45.1,20.9,291.8,1022.4,26.4,19.7,,,,,2009-08-29T07:03:22,2009-08-29T20:39:07,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-30,23.6,10,17.4,23.6,10,17.4,8,57.3,0,0,0,,0,0,32.1,10.5,244.2,1021.9,27.6,20.7,,,,,2009-08-30T07:04:46,2009-08-30T20:37:06,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
