,total_consumption,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions_clear,conditions_overcast,conditions_partiallycloudy,conditions_rain,conditions_rainovercast,conditions_rainpartiallycloudy,conditions_snowovercast,conditions_snowpartiallycloudy,conditions_snowrain,conditions_snowrainovercast,conditions_snowrainpartiallycloudy,day_length,is_holiday
2006-12-16,1209.176,34.922,93552.53,5180.8,0.0,546.0,4926.0,8.2,3.4,5.7,5.7,0.6,2.9,4.1,89.8,1.853,100,29.17,0.0,0.0,39.8,19.1,235.4,1023.2,68.6,10.2,0.87,False,False,False,False,False,True,False,False,False,False,False,8.278888888888888,False
2006-12-17,3390.46,226.006,345725.32,14398.6,2033.0,4187.0,13341.0,7.2,0.6,3.4,5.9,-1.4,2.4,2.3,92.4,0.314,100,8.33,0.0,0.0,17.2,9.2,227.6,1028.5,59.8,7.2,0.9,False,False,False,False,False,True,False,False,False,False,False,8.270833333333334,False
2006-12-18,2203.826,161.792,347373.64,9247.2,1063.0,2621.0,14018.0,5.3,2.5,4.0,4.3,-0.4,2.4,2.3,89.4,0.008,100,4.17,0.0,0.0,26.9,14.6,93.4,1027.9,87.7,6.4,0.93,False,False,False,False,False,True,False,False,False,False,False,8.264722222222222,False
2006-12-19,1666.194,150.942,348479.01,7094.0,839.0,7602.0,6197.0,4.9,0.2,2.3,0.6,-4.6,-1.9,-1.0,80.1,0.0,0,0.0,0.0,0.0,41.1,22.3,25.1,1032.5,21.0,10.8,0.96,False,False,True,False,False,False,False,False,False,False,False,8.259722222222223,False
2006-12-20,2225.748,160.998,348923.61,9313.0,0.0,2648.0,14063.0,5.5,0.4,2.6,2.1,-4.2,-1.4,-1.8,73.5,0.0,0,0.0,0.0,0.0,33.7,20.7,25.8,1035.8,25.3,14.8,0.0,False,False,True,False,False,False,False,False,False,False,False,8.256388888888889,False
2006-12-21,1716.624,144.166,346616.31,7238.6,1765.0,2623.0,10421.0,8.2,1.0,4.6,4.9,-2.8,1.1,1.0,78.0,0.0,0,0.0,0.0,0.0,43.7,22.3,25.7,1038.0,53.6,13.0,0.03,False,False,True,False,False,False,False,False,False,False,False,8.255,False
2006-12-22,2341.338,186.906,347305.75,9897.0,3151.0,350.0,11131.0,6.5,3.3,4.7,3.1,-0.6,1.1,0.6,75.1,0.0,0,0.0,0.0,0.0,38.9,20.4,30.6,1038.0,0.8,16.5,0.07,True,False,False,False,False,False,False,False,False,False,False,8.255,False
2006-12-23,4773.386,221.47,345795.95,20200.4,2669.0,425.0,14726.0,3.8,1.2,2.2,0.7,-2.6,-1.1,0.0,85.8,0.0,0,0.0,0.0,0.0,29.5,14.8,34.1,1036.8,51.5,7.0,0.1,False,False,True,False,False,False,False,False,False,False,False,8.256388888888889,False
2006-12-24,2550.012,149.9,348029.91,11002.2,1703.0,5082.0,6891.0,2.3,1.3,2.0,2.3,-1.6,0.1,0.2,88.2,0.0,0,0.0,0.0,0.0,18.7,10.8,54.1,1035.0,100.0,5.2,0.14,False,True,False,False,False,False,False,False,False,False,False,8.259722222222223,False
2006-12-25,2743.12,240.28,350495.9,11450.2,6620.0,1962.0,5795.0,2.3,-0.1,1.2,2.2,-2.9,-1.2,-0.2,90.7,0.0,0,0.0,0.0,0.0,22.3,10.4,25.2,1034.0,100.0,3.4,0.17,False,True,False,False,False,False,False,False,False,False,False,8.264444444444445,True
2006-12-26,3934.11,165.102,347940.63,16341.0,1086.0,2533.0,14979.0,0.3,-0.8,-0.2,0.0,-4.3,-2.5,-1.4,91.2,0.0,0,0.0,0.0,0.0,22.3,10.7,110.1,1032.6,100.0,4.8,0.21,False,True,False,False,False,False,False,False,False,False,False,8.270555555555555,False
